nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010001,TOPKLASSE,2016-08-21 15:30:00,FLORIANT,AKC/Luma,19 ,16,, ,Floriant
V010002,TOPKLASSE,2016-08-21 15:30:00,KWIK,BORGERHOUT/GW,19 ,18,, ,Kwik
V010003,TOPKLASSE,2016-08-21 15:30:00,BOECKENBERG,MINERVA,22 ,14,, ,Boeckenberg - Sportcenter
V010004,TOPKLASSE,2016-08-21 15:30:00,MEEUWEN,SCALDIS,18 ,18,, ,Meeuwen
V010030,PROMOKLASSE,2016-08-21 15:30:00,RIVIERA,LEUVEN,18 ,13,, ,Riviera
V010031,PROMOKLASSE,2016-08-20 20:30:00,TEMSE,VOORWAARTS,13 ,19,, ,Temse
V010032,PROMOKLASSE,2016-08-21 15:30:00,SIKOPI,ASKC,29 ,10,, ,Sikopi
V010033,PROMOKLASSE,2016-08-21 15:30:00,VOBAKO,PUTSE,9 ,12,, ,Vobako
V010040,TOPKLASSE res,2016-08-21 14:00:00,FLORIANT RES,AKC/Luma RES,7 ,20,, ,Floriant
V010041,TOPKLASSE res,2016-08-21 14:00:00,KWIK RES,BORGERHOUT/GW RES,23 ,14,, ,Kwik
V010042,TOPKLASSE res,2016-08-21 14:00:00,BOECKENBERG RES,MINERVA RES,12 ,8,, ,Boeckenberg - Sportcenter
V010043,TOPKLASSE res,2016-08-21 14:00:00,MEEUWEN RES,SCALDIS RES,18 ,7,, ,Meeuwen
V010050,PROMOKLASSE res,2016-08-21 14:00:00,RIVIERA RES,LEUVEN RES,12 ,9,, ,Riviera
V010051,PROMOKLASSE res,2016-08-20 18:45:00,TEMSE RES,VOORWAARTS RES,7 ,15,, ,Temse
V010052,PROMOKLASSE res,2016-08-21 14:00:00,SIKOPI RES,ASKC RES,17 ,8,, ,Sikopi
V010053,PROMOKLASSE res,2016-08-21 14:00:00,VOBAKO RES,PUTSE RES,4 ,11,, ,Vobako
V010130,1ste gew TOPKLASSE ,2016-08-21 12:40:00,FLORIANT 2,AKC/Luma 2,10 ,11,, ,Floriant
V010131,1ste gew TOPKLASSE ,2016-08-21 00:00:00,VRIJ,BORGERHOUT/GW 2,,,, ,
V010132,1ste gew TOPKLASSE ,2016-08-21 12:40:00,BOECKENBERG 2,MINERVA 2,9 ,3,, ,Boeckenberg - Sportcenter
V010133,1ste gew TOPKLASSE ,2016-08-21 00:00:00,MEEUWEN 2,VRIJ,,,, ,
V010140,1ste gew PROMOKLASSE,2016-08-21 12:40:00,RIVIERA 2,LEUVEN 2,14 ,3,, ,Riviera
V010141,1ste gew PROMOKLASSE,2016-08-20 17:30:00,TEMSE 2,VOORWAARTS 2,16 ,12,, ,Temse
V010142,1ste gew PROMOKLASSE,2016-08-21 12:40:00,SIKOPI 2,ASKC 2,11 ,11,, ,Sikopi
V010143,1ste gew PROMOKLASSE,2016-08-21 12:40:00,VOBAKO 2,PUTSE 2,5 ,14,, ,Vobako
V020001,TOPKLASSE,2016-08-28 15:30:00,SCALDIS,BOECKENBERG,21 ,12,, ,Scaldis
V020002,TOPKLASSE,2016-08-28 15:30:00,MINERVA,BORGERHOUT/GW,19 ,18,, ,Minerva
V020003,TOPKLASSE,2016-08-28 15:30:00,MEEUWEN,FLORIANT,9 ,18,, ,Meeuwen
V020004,TOPKLASSE,2016-08-28 15:30:00,KWIK,AKC/Luma,16 ,17,, ,Kwik
V020030,PROMOKLASSE,2016-08-28 15:30:00,PUTSE,SIKOPI,18 ,22,, ,Putse
V020031,PROMOKLASSE,2016-08-28 14:00:00,ASKC,VOORWAARTS,10 ,21,, ,ASKC
V020032,PROMOKLASSE,2016-08-28 15:30:00,RIVIERA,VOBAKO,16 ,13,, ,Riviera
V020033,PROMOKLASSE,2016-08-28 15:30:00,LEUVEN,TEMSE,10 ,10,, ,Leuven
V020040,TOPKLASSE res,2016-08-28 14:00:00,SCALDIS RES,BOECKENBERG RES,15 ,10,, ,Scaldis
V020041,TOPKLASSE res,2016-08-28 14:00:00,MINERVA RES,BORGERHOUT/GW RES,9 ,11,, ,Minerva
V020042,TOPKLASSE res,2016-08-28 14:00:00,MEEUWEN RES,FLORIANT RES,12 ,7,, ,Meeuwen
V020043,TOPKLASSE res,2016-08-28 14:00:00,KWIK RES,AKC/Luma RES,18 ,8,, ,Kwik
V020050,PROMOKLASSE res,2016-08-28 14:00:00,PUTSE RES,SIKOPI RES,7 ,15,, ,Putse
V020051,PROMOKLASSE res,2016-08-28 15:30:00,ASKC RES,VOORWAARTS RES,4 ,18,, ,ASKC
V020052,PROMOKLASSE res,2016-08-28 14:00:00,RIVIERA RES,VOBAKO RES,12 ,4,, ,Riviera
V020053,PROMOKLASSE res,2016-08-28 14:00:00,LEUVEN RES,TEMSE RES,11 ,10,, ,Leuven
V020130,1ste gew TOPKLASSE ,2016-08-28 00:00:00,VRIJ,BOECKENBERG 2,,,, ,
V020131,1ste gew TOPKLASSE ,2016-08-28 12:40:00,MINERVA 2,BORGERHOUT/GW 2,12 ,19,, ,Minerva
V020132,1ste gew TOPKLASSE ,2016-08-28 12:40:00,MEEUWEN 2,FLORIANT 2,12 ,4,, ,Meeuwen
V020133,1ste gew TOPKLASSE ,2016-08-28 00:00:00,VRIJ,AKC/Luma 2,,,, ,
V020140,1ste gew PROMOKLASSE,2016-08-28 12:40:00,PUTSE 2,SIKOPI 2,19 ,9,, ,Putse
V020141,1ste gew PROMOKLASSE,2016-08-28 12:40:00,ASKC 2,VOORWAARTS 2,5 ,13,, ,ASKC
V020142,1ste gew PROMOKLASSE,2016-08-28 12:40:00,RIVIERA 2,VOBAKO 2,9 ,4,, ,Riviera
V020143,1ste gew PROMOKLASSE,2016-08-28 12:40:00,LEUVEN 2,TEMSE 2,10 ,11,, ,Leuven
V030001,TOPKLASSE,2016-09-04 15:30:00,MINERVA,AKC/Luma,14 ,18,, ,Minerva
V030002,TOPKLASSE,2016-09-04 15:30:00,BOECKENBERG,FLORIANT,17 ,12,, ,Boeckenberg - Sportcenter
V030003,TOPKLASSE,2016-09-04 15:30:00,KWIK,MEEUWEN,20 ,19,, ,Kwik
V030004,TOPKLASSE,2016-09-04 15:30:00,BORGERHOUT/GW,SCALDIS,13 ,18,, ,Borgerhout/GW
V030030,PROMOKLASSE,2016-09-04 14:00:00,ASKC,LEUVEN,10 ,17,, ,ASKC
V030031,PROMOKLASSE,2016-09-04 15:30:00,SIKOPI,RIVIERA,22 ,9,, ,Sikopi
V030032,PROMOKLASSE,2016-09-03 20:30:00,TEMSE,VOBAKO,16 ,12,, ,Temse
V030033,PROMOKLASSE,2016-09-04 15:30:00,VOORWAARTS,PUTSE,19 ,11,, ,Voorwaarts
V030040,TOPKLASSE res,2016-09-04 14:00:00,MINERVA RES,AKC/Luma RES,7 ,12,, ,Minerva
V030041,TOPKLASSE res,2016-09-04 14:00:00,BOECKENBERG RES,FLORIANT RES,3 ,12,, ,Boeckenberg - Sportcenter
V030042,TOPKLASSE res,2016-09-04 14:00:00,KWIK RES,MEEUWEN RES,12 ,10,, ,Kwik
V030043,TOPKLASSE res,2016-09-04 14:00:00,BORGERHOUT/GW RES,SCALDIS RES,20 ,6,, ,Borgerhout/GW
V030050,PROMOKLASSE res,2016-09-04 15:30:00,ASKC RES,LEUVEN RES,9 ,7,, ,ASKC
V030051,PROMOKLASSE res,2016-09-04 14:00:00,SIKOPI RES,RIVIERA RES,16 ,11,, ,Sikopi
V030052,PROMOKLASSE res,2016-09-03 18:45:00,TEMSE RES,VOBAKO RES,15 ,6,, ,Temse
V030053,PROMOKLASSE res,2016-09-04 14:00:00,VOORWAARTS RES,PUTSE RES,16 ,9,, ,Voorwaarts
V030060,HOOFDKLASSE 1,2016-09-04 15:30:00,GANDA,Hoboken/Mercurius,11 ,12,, ,Ganda
V030061,HOOFDKLASSE 1,2016-09-04 15:30:00,APPELS,CATBA,14 ,20,, ,Appels
V030062,HOOFDKLASSE 1,2016-09-04 14:15:00,VERDE,KCBJ,15 ,13,, ,Verde
V030063,HOOFDKLASSE 1,2016-09-03 20:30:00,RIJKO,SPARTACUS,9 ,11,, ,Rijko
V030070,HOOFDKLASSE 2,2016-09-04 15:30:00,TECHNICO,BOECHOUT_VREMDE,9 ,5,, ,Technico
V030071,HOOFDKLASSE 2,2016-09-04 16:00:00,KAPELLEN,HOEVENEN,9 ,15,, ,Kapellen
V030072,HOOFDKLASSE 2,2016-09-04 15:30:00,NEERLANDIA,ATBS,19 ,8,, ,Neerlandia
V030073,HOOFDKLASSE 2,2016-09-04 14:00:00,HOVE,AGO AALST,12 ,10,, ,Hove
V030080,OVERGANGSKLASSE A,2016-09-04 14:00:00,KCOV,RKC,10 ,7,, ,KCOV
V030081,OVERGANGSKLASSE A,2016-09-03 18:30:00,VOS REINAERT,JOKI,16 ,16,, ,Vos Reinaert
V030082,OVERGANGSKLASSE A,2016-09-03 20:30:00,DEURNE,EKERSE,19 ,3,, ,Deurne
V030083,OVERGANGSKLASSE A,2016-09-03 19:00:00,KC Limes,O.ANDERLECHT,0 ,5 FF,, ,Limes
V030090,OVERGANGSKLASSE B,2016-09-04 15:30:00,BORNEM,Hoboken/Mercurius 3,12 ,7,, ,Bornem
V030091,OVERGANGSKLASSE B,2016-09-04 12:40:00,KAPELLEN 2,HOEVENEN 2,9 ,11,, ,Kapellen
V030092,OVERGANGSKLASSE B,2016-09-04 12:40:00,NEERLANDIA 2,VOSKO,12 ,9,, ,Neerlandia
V030093,OVERGANGSKLASSE B,2016-09-04 12:00:00,BOUTERSEM,THE BLUE GHOSTS,5 ,0 FF,, ,Boutersem
V030100,HOOFDKLASSE 1 res,2016-09-04 14:00:00,GANDA RES,Hoboken/Mercurius res,14 ,8,, ,Ganda
V030101,HOOFDKLASSE 1 res,2016-09-04 14:00:00,APPELS RES,CATBA RES,9 ,6,, ,Appels
V030102,HOOFDKLASSE 1 res,2016-09-04 15:45:00,VERDE RES,KCBJ RES,9 ,7,, ,Verde
V030103,HOOFDKLASSE 1 res,2016-09-03 19:00:00,RIJKO RES,SPARTACUS RES,10 ,9,, ,Rijko
V030110,HOOFDKLASSE 2 res,2016-09-04 14:00:00,TECHNICO RES,BOECHOUT_VREMDE RES,16 ,2,, ,Technico
V030111,HOOFDKLASSE 2 res,2016-09-04 14:30:00,KAPELLEN RES,HOEVENEN RES,3 ,20,, ,Kapellen
V030112,HOOFDKLASSE 2 res,2016-09-04 14:00:00,NEERLANDIA RES,ATBS RES,15 ,5,, ,Neerlandia
V030113,HOOFDKLASSE 2 res,2016-09-04 15:30:00,HOVE RES,AGO AALST RES,0 ,5 FF,, ,Hove
V030120,OVERGANGSKLASSE A res,2016-09-04 15:30:00,KCOV RES,RKC RES,,,, ,KCOV
V030121,OVERGANGSKLASSE A res,2016-09-03 00:00:00,VOS REINAERT RES,VRIJ,,,, ,
V030122,OVERGANGSKLASSE A res,2016-09-03 19:00:00,DEURNE RES,EKERSE RES,13 ,5,, ,Deurne
V030123,OVERGANGSKLASSE A res,2016-09-03 20:30:00,KC LIMES RES,O.ANDERLECHT RES,0 ,5 FF,, ,Limes
V030130,1ste gew TOPKLASSE ,2016-09-04 12:40:00,MINERVA 2,AKC/Luma 2,12 ,16,, ,Minerva
V030131,1ste gew TOPKLASSE ,2016-09-04 12:40:00,BOECKENBERG 2,FLORIANT 2,8 ,15,, ,Boeckenberg - Sportcenter
V030132,1ste gew TOPKLASSE ,2016-09-04 00:00:00,VRIJ,MEEUWEN 2,,,, ,
V030133,1ste gew TOPKLASSE ,2016-09-04 00:00:00,BORGERHOUT/GW 2,VRIJ,,,, ,
V030140,1ste gew PROMOKLASSE,2016-09-04 12:40:00,ASKC 2,LEUVEN 2,6 ,7,, ,ASKC
V030141,1ste gew PROMOKLASSE,2016-09-04 12:40:00,SIKOPI 2,RIVIERA 2,15 ,10,, ,Sikopi
V030142,1ste gew PROMOKLASSE,2016-09-03 17:30:00,TEMSE 2,VOBAKO 2,17 ,2,, ,Temse
V030143,1ste gew PROMOKLASSE,2016-09-04 12:40:00,VOORWAARTS 2,PUTSE 2,10 ,12,, ,Voorwaarts
V030150,1ste gew HOOFDKLASSE 1,2016-09-04 12:40:00,GANDA 2,Hoboken/Mercurius 2,16 ,5,, ,Ganda
V030151,1ste gew HOOFDKLASSE 1,2016-09-04 12:40:00,APPELS 2,CATBA 2,6 ,18,, ,Appels
V030152,1ste gew HOOFDKLASSE 1,2016-09-04 00:00:00,VERDE 2,VRIJ,,,, ,
V030153,1ste gew HOOFDKLASSE 1,2016-09-03 17:30:00,RIJKO 2,SPARTACUS 2,3 ,11,, ,Rijko
V040001,TOPKLASSE,2016-09-11 15:30:00,MEEUWEN,BOECKENBERG,,,Vincent Van der Beken, ,Meeuwen
V040002,TOPKLASSE,2016-09-11 15:30:00,AKC/Luma,BORGERHOUT/GW,,,Tina Van Grimberge, ,AKC
V040003,TOPKLASSE,2016-09-11 15:30:00,SCALDIS,MINERVA,,,Kris Meeus, ,Scaldis
V040004,TOPKLASSE,2016-09-11 15:30:00,FLORIANT,KWIK,,,Tom Goddefroy, ,Floriant
V040030,PROMOKLASSE,2016-09-11 15:30:00,SIKOPI,VOBAKO,,,Thierry Vangoidsenhoven, ,Sikopi
V040031,PROMOKLASSE,2016-09-11 15:30:00,LEUVEN,VOORWAARTS,,,Ben Morel, ,Leuven
V040032,PROMOKLASSE,2016-09-11 15:30:00,PUTSE,ASKC,,,Inge Bekaert, ,Putse
V040033,PROMOKLASSE,2016-09-11 15:30:00,RIVIERA,TEMSE,,,Robin De Backer, ,Riviera
V040040,TOPKLASSE res,2016-09-11 14:00:00,MEEUWEN RES,BOECKENBERG RES,,,, ,Meeuwen
V040041,TOPKLASSE res,2016-09-11 14:00:00,AKC/Luma RES,BORGERHOUT/GW RES,,,, ,AKC
V040042,TOPKLASSE res,2016-09-11 14:00:00,SCALDIS RES,MINERVA RES,,,Patrick Desmet, ,Scaldis
V040043,TOPKLASSE res,2016-09-11 14:00:00,FLORIANT RES,KWIK RES,,,, ,Floriant
V040050,PROMOKLASSE res,2016-09-11 14:00:00,SIKOPI RES,VOBAKO RES,,,, ,Sikopi
V040051,PROMOKLASSE res,2016-09-11 14:00:00,LEUVEN RES,VOORWAARTS RES,,,, ,Leuven
V040052,PROMOKLASSE res,2016-09-11 14:00:00,PUTSE RES,ASKC RES,,,, ,Putse
V040053,PROMOKLASSE res,2016-09-11 14:00:00,RIVIERA RES,TEMSE RES,,,, ,Riviera
V040060,HOOFDKLASSE 1,2016-09-11 14:30:00,SPARTACUS,VERDE,,,Bjorn Elewaut, ,Spartacus
V040061,HOOFDKLASSE 1,2016-09-11 15:30:00,KCBJ,CATBA,,,Hans Van Hellemont, ,KCBJ
V040062,HOOFDKLASSE 1,2016-09-11 15:30:00,GANDA,RIJKO,,,Jan Nelen, ,Ganda
V040063,HOOFDKLASSE 1,2016-09-11 15:30:00,Hoboken/Mercurius,APPELS,,,Dave Mertens, ,Hoboken 2000
V040070,HOOFDKLASSE 2,2016-09-11 14:00:00,AGO AALST,NEERLANDIA,,,Jacques Ceurvelts, ,AGO Aalst
V040071,HOOFDKLASSE 2,2016-09-11 15:30:00,ATBS,HOEVENEN,,,Jeff Robert, ,ATBS
V040072,HOOFDKLASSE 2,2016-09-11 15:30:00,TECHNICO,HOVE,,,Stef Cleyman, ,Technico
V040073,HOOFDKLASSE 2,2016-09-11 15:30:00,BOECHOUT_VREMDE,KAPELLEN,,,Maarten Van Och, ,Boechout
V040080,OVERGANGSKLASSE A,2016-09-11 14:00:00,O.ANDERLECHT,DEURNE,,,Kurt Vanlerberghe, ,Anderlecht
V040081,OVERGANGSKLASSE A,2016-09-11 14:00:00,EKERSE,JOKI,,,Erik Van Hove, ,Ekerse
V040082,OVERGANGSKLASSE A,2016-09-10 19:00:00,KC Limes,KCOV,,,Armand Scheerens, ,Limes
V040083,OVERGANGSKLASSE A,2016-09-11 14:00:00,RKC,VOS REINAERT,,,Lodewijk Van den Wyngaert, ,RKC
V040090,OVERGANGSKLASSE B,2016-09-11 11:00:00,NEERLANDIA 2,THE BLUE GHOSTS,,,Nico Van Pellecom, ,Neerlandia
V040091,OVERGANGSKLASSE B,2016-09-11 15:30:00,VOSKO,HOEVENEN 2,,,Armand Scheerens, ,Vosko
