nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V070092,OVERGANGSKLASSE B,2016-10-02 12:40:00,HOEVENEN 2,BOUTERSEM,,,Robert Hansens, ,Hoevenen
V070093,OVERGANGSKLASSE B,2016-10-01 15:30:00,THE BLUE GHOSTS,KAPELLEN 2,,,Nico Van Pellecom, ,The Blue Ghosts
V070100,HOOFDKLASSE 1 res,2016-10-02 15:45:00,VERDE RES,Hoboken/Mercurius res,,,, ,Verde
V070101,HOOFDKLASSE 1 res,2016-10-02 14:00:00,KCBJ RES,GANDA RES,,,, ,KCBJ
V070102,HOOFDKLASSE 1 res,2016-10-02 14:00:00,CATBA RES,RIJKO RES,,,Andre Van den Berge, ,Catba
V070103,HOOFDKLASSE 1 res,2016-10-02 16:00:00,SPARTACUS RES,APPELS RES,,,, ,Spartacus
V070110,HOOFDKLASSE 2 res,2016-10-02 14:00:00,NEERLANDIA RES,BOECHOUT_VREMDE RES,,,, ,Neerlandia
V070111,HOOFDKLASSE 2 res,2016-10-02 14:00:00,ATBS RES,TECHNICO RES,,,, ,ATBS
V070112,HOOFDKLASSE 2 res,2016-10-02 15:30:00,HOEVENEN RES,HOVE RES,,,, ,Hoevenen
V070113,HOOFDKLASSE 2 res,2016-10-02 15:30:00,AGO AALST RES,KAPELLEN RES,,,, ,AGO Aalst
V070120,OVERGANGSKLASSE A res,2016-10-01 19:00:00,DEURNE RES,RKC RES,,,, ,Deurne
V070121,OVERGANGSKLASSE A res,2016-10-02 15:30:00,EKERSE RES,KCOV RES,,,, ,Ekerse
V070122,OVERGANGSKLASSE A res,2016-10-02 00:00:00,VRIJ,KC LIMES RES,,,, ,
V070123,OVERGANGSKLASSE A res,2016-10-02 15:30:00,O.ANDERLECHT RES,VOS REINAERT RES,,,, ,Anderlecht
V070130,1ste gew TOPKLASSE ,2016-10-02 12:40:00,BOECKENBERG 2,BORGERHOUT/GW 2,,,, ,Boeckenberg - Sportcenter
V070131,1ste gew TOPKLASSE ,2016-10-02 00:00:00,FLORIANT 2,VRIJ,,,, ,
V070132,1ste gew TOPKLASSE ,2016-10-02 12:40:00,MEEUWEN 2,AKC/Luma 2,,,, ,Meeuwen
V070133,1ste gew TOPKLASSE ,2016-10-02 00:00:00,VRIJ,MINERVA 2,,,, ,
V070140,1ste gew PROMOKLASSE,2016-10-02 12:40:00,SIKOPI 2,VOORWAARTS 2,,,, ,Sikopi
V070141,1ste gew PROMOKLASSE,2016-10-02 12:40:00,RIVIERA 2,PUTSE 2,,,, ,Riviera
V070142,1ste gew PROMOKLASSE,2016-10-02 12:40:00,VOBAKO 2,LEUVEN 2,,,, ,Vobako
V070143,1ste gew PROMOKLASSE,2016-10-01 17:30:00,TEMSE 2,ASKC 2,,,, ,Temse
V070150,1ste gew HOOFDKLASSE 1,2016-10-02 12:40:00,VERDE 2,Hoboken/Mercurius 2,,,, ,Verde
V070151,1ste gew HOOFDKLASSE 1,2016-10-02 00:00:00,VRIJ,GANDA 2,,,, ,
V070152,1ste gew HOOFDKLASSE 1,2016-10-02 12:40:00,CATBA 2,RIJKO 2,,,, ,Catba
V070153,1ste gew HOOFDKLASSE 1,2016-10-02 12:40:00,SPARTACUS 2,APPELS 2,,,, ,Spartacus
V080001,TOPKLASSE,2016-10-09 15:30:00,AKC/Luma,FLORIANT,,,, ,AKC
V080002,TOPKLASSE,2016-10-09 15:30:00,BORGERHOUT/GW,KWIK,,,, ,Borgerhout/GW
V080003,TOPKLASSE,2016-10-09 15:30:00,MINERVA,BOECKENBERG,,,, ,Minerva
V080004,TOPKLASSE,2016-10-09 15:30:00,SCALDIS,MEEUWEN,,,, ,Scaldis
V080030,PROMOKLASSE,2016-10-09 15:30:00,LEUVEN,RIVIERA,,,, ,Leuven
V080031,PROMOKLASSE,2016-10-09 15:30:00,VOORWAARTS,TEMSE,,,, ,Voorwaarts
V080032,PROMOKLASSE,2016-10-09 14:00:00,ASKC,SIKOPI,,,, ,ASKC
V080033,PROMOKLASSE,2016-10-09 15:30:00,PUTSE,VOBAKO,,,, ,Putse
V080040,TOPKLASSE res,2016-10-09 14:00:00,AKC/Luma RES,FLORIANT RES,,,, ,AKC
V080041,TOPKLASSE res,2016-10-09 14:00:00,BORGERHOUT/GW RES,KWIK RES,,,, ,Borgerhout/GW
V080042,TOPKLASSE res,2016-10-09 14:00:00,MINERVA RES,BOECKENBERG RES,,,, ,Minerva
V080043,TOPKLASSE res,2016-10-09 14:00:00,SCALDIS RES,MEEUWEN RES,,,, ,Scaldis
V080050,PROMOKLASSE res,2016-10-09 14:00:00,LEUVEN RES,RIVIERA RES,,,, ,Leuven
V080051,PROMOKLASSE res,2016-10-09 14:00:00,VOORWAARTS RES,TEMSE RES,,,, ,Voorwaarts
V080052,PROMOKLASSE res,2016-10-09 15:30:00,ASKC RES,SIKOPI RES,,,, ,ASKC
V080053,PROMOKLASSE res,2016-10-09 14:00:00,PUTSE RES,VOBAKO RES,,,, ,Putse
V080060,HOOFDKLASSE 1,2016-10-09 15:30:00,APPELS,VERDE,,,, ,Appels
V080061,HOOFDKLASSE 1,2016-10-09 15:30:00,CATBA,GANDA,,,, ,Catba
V080062,HOOFDKLASSE 1,2016-10-08 20:30:00,RIJKO,KCBJ,,,, ,Rijko
V080063,HOOFDKLASSE 1,2016-10-09 15:30:00,Hoboken/Mercurius,SPARTACUS,,,, ,Hoboken 2000
V080070,HOOFDKLASSE 2,2016-10-09 16:00:00,KAPELLEN,NEERLANDIA,,,, ,Kapellen
V080071,HOOFDKLASSE 2,2016-10-09 15:30:00,TECHNICO,HOEVENEN,,,, ,Technico
V080072,HOOFDKLASSE 2,2016-10-09 14:00:00,HOVE,ATBS,,,, ,Hove
V080073,HOOFDKLASSE 2,2016-10-09 15:30:00,BOECHOUT_VREMDE,AGO AALST,,,, ,Boechout
V080080,OVERGANGSKLASSE A,2016-10-08 18:30:00,VOS REINAERT,DEURNE,,,, ,Vos Reinaert
V080081,OVERGANGSKLASSE A,2016-10-09 14:00:00,JOKI,KCOV,,,, ,Joki
V080082,OVERGANGSKLASSE A,2016-10-08 19:00:00,KC Limes,EKERSE,,,, ,Limes
V080083,OVERGANGSKLASSE A,2016-10-09 14:00:00,RKC,O.ANDERLECHT,,,, ,RKC
V080090,OVERGANGSKLASSE B,2016-10-09 12:40:00,KAPELLEN 2,NEERLANDIA 2,,,, ,Kapellen
